employee_id,age,gender,city,education,department,role,years_experience,hire_date,weekly_hours,overtime_hours,remote_days,monthly_salary_mad,performance_score,satisfaction_score,contract_type,promoted_last_2y
EMP0389,22,Femme,Marrakech,Bac+2,Sales,Sales Representative,1,2024-08-12,30,12.4,1,12250,4.4,6.9,CDI,Non
EMP0102,37,Femme,Casablanca,Bac+2,Data,Data Engineer,8,2018-05-02,39,5.9,2,17500,3.5,8.7,CDI,Non
EMP0414,55,Homme,Rabat,Master,Operations,Technician,10,2014-01-27,33,14.0,2,16050,4.0,5.2,Stage,Non
EMP0481,27,Homme,Casablanca,Master,Sales,Account Manager,7,2017-11-06,49,3.6,0,15800,2.6,9.1,CDI,Non
EMP0508,33,Femme,Tanger,Master,Sales,Sales Representative,2,2022-11-01,37,5.6,0,14650,2.9,6.3,CDI,Non
EMP0485,35,Homme,Marrakech,Master,IT,Network Engineer,4,2020-03-23,41,3.6,3,14850,2.2,6.6,CDD,Non
EMP0270,31,Femme,Tanger,Master,Operations,Technician,9,2016-06-26,48,2.0,3,11300,2.4,8.0,CDI,Non
EMP0550,35,Femme,Rabat,Bac+2,Sales,Sales Representative,2,2022-01-22,54,2.4,0,10050,3.6,4.7,CDI,Non
EMP0590,50,Homme,Fès,,Finance,Controller,18,2006-04-14,45,4.2,0,18500,3.5,7.4,CDI,Non
EMP0427,36,Homme,Marrakech,Bac+2,RH,HR Specialist,5,2020-10-20,40,4.1,1,11500,3.7,7.3,CDI,Non
EMP0418,32,Femme,Agadir,Licence,Operations,Technician,10,2015-05-25,38,6.1,4,12650,4.8,7.2,CDI,Non
EMP0005,22,Homme,Tanger ,Licence,Operations,Operations Analyst,0,2024-03-06,42,7.3,1,10250,4.0,5.9,CDI,Non
EMP0240,36,Homme,Rabat,Bac,Sales,Sales Analyst,13,2013-05-05,44,2.3,1,11150,3.9,7.1,CDI,Non
EMP0255,38,Homme,Fès ,Licence,Sales,Sales Analyst,4,2021-09-14,40,7.6,2,9800,3.8,8.5,CDD,Non
EMP0556,44,Homme,Casablanca,Licence,Data,BI Analyst,14,2010-06-20,45,5.4,2,18150,2.6,7.3,CDI,Oui
EMP0191,35,Femme,Marrakech,Doctorat,Operations,Operations Analyst,9,2017-10-14,39,9.4,1,13750,3.1,5.3,CDI,Non
EMP0256,41,Femme,Rabat,Master,Data,Data Analyst,6,2020-09-17,47,2.3,0,13900,3.5,8.4,CDI,Non
EMP0541,44,Femme,Marrakech,Licence,Sales,Sales Representative,22,2004-09-22,44,2.4,1,19200,3.5,7.2,CDI,Non
EMP0301,35,Homme,Casablanca,Doctorat,Sales,Sales Representative,2,2022-12-03,40,4.2,1,68000,4.1,7.3,CDI,Non
EMP0134,37,Homme,Tanger,Doctorat,Sales,Sales Analyst,0,2026-06-26,46,2.2,1,12850,2.9,6.8,CDD,Non
EMP0090,52,Femme,Rabat,Master,Sales,Account Manager,11,2015-02-13,43,2.0,0,17800,3.2,7.4,Stage,Non
EMP0088,50,Femme,Agadir,Master,RH,Recruiter,27,2002-06-04,43,13.4,1,21500,4.9,7.5,Stage,Non
EMP0018,41,Homme,Casablanca,Bac+2,Operations,Operations Analyst,10,2016-07-10,34,7.0,2,17150,5.0,5.7,Stage,Non
EMP0292,41,Femme,Casablanca,Master,Sales,Sales Analyst,20,2006-08-02,40,5.2,0,19650,2.7,7.2,CDI,Non
EMP0166,28,Homme,Casablanca,Licence,Operations,Operations Analyst,1,2025-08-27,36,13.9,0,8350,2.8,8.9,CDI,Non
EMP0585,45,Homme,Tanger,Doctorat,RH,HR Specialist,21,2003-04-13,46,7.8,0,21700,2.0,5.0,CDI,Non
EMP0213,33,Femme,Fès,Master,Sales,Account Manager,5,2019-05-22,36,11.6,1,17950,3.1,7.1,CDI,Non
EMP0249,22,Homme,Casablanca,Bac+2,Sales,Sales Representative,1,2024-09-05,43,10.5,0,11400,3.1,5.7,CDI,Non
EMP0492,28,Femme,Tanger,Bac+2,Finance,Accountant,2,2022-04-06,42,3.8,2,11100,3.3,8.5,CDI,Oui
EMP0063,46,Femme,Marrakech,Licence,IT,System Engineer,4,2021-12-01,30,12.2,0,14800,2.4,4.9,CDI,Non
EMP0442,45,Homme,Marrakech,Licence,Sales,Sales Analyst,2,2022-08-06,42,6.0,1,11650,3.3,6.3,CDI,Non
EMP0522,34,Homme,Marrakech,Bac+2,Operations,Technician,1,2024-04-10,45,10.8,0,5450,2.4,6.3,CDI,Non
EMP0138,45,Femme,Casablanca,Licence,Finance,Controller,1,2023-03-09,43,2.9,2,14500,3.5,6.2,CDI,Non
EMP0424,50,Homme,Casablanca,Licence,Finance,Financial Analyst,15,2011-02-22,44,6.6,2,18450,4.1,7.3,Stage,Non
EMP0341,45,Homme,Tanger,Master,Sales,Sales Analyst,13,2011-07-21,48,10.3,0,15050,3.4,7.1,CDI,Non
EMP0378,49,Homme,Agadir,Master,IT,Network Engineer,19,2007-06-09,41,14.7,2,21650,3.2,5.5,CDI,Non
EMP0284,32,Homme,,Bac+2,Operations,Operations Analyst,0,2024-09-18,43,2.5,4,6900,3.8,6.7,CDI,Non
EMP0359,22,Homme,Marrakech,Bac,IT,Network Engineer,2,2024-03-25,34,1.7,1,11600,3.2,4.5,CDI,Non
EMP0611,36,Homme,Casablanca,Bac+2,Sales,Account Manager,21,2024-02-06,45,1.6,2,12400,3.3,6.9,CDI,Non
EMP0467,33,Homme,Agadir,Doctorat,Sales,Sales Representative,7,2018-10-18,39,9.6,3,16800,2.8,7.0,CDI,Non
EMP0120,60,Femme,Tanger,Master,Sales,Sales Representative,1,2023-02-13,40,7.8,1,13600,4.7,6.9,CDI,Non
EMP0177,33,Femme,Fès,Licence,Sales,Sales Analyst,10,2016-12-07,46,6.5,1,13650,3.2,8.4,CDI,Oui
EMP0455,22,Homme,Agadir,Master,Sales,Sales Representative,2,2024-02-01,40,15.1,2,11900,2.3,6.3,CDI,Non
EMP0098,58,Homme,Tanger,Master,Data,Data Engineer,11,2015-03-13,43,4.2,3,16100,1.5,5.8,CDD,Non
EMP0158,27,Femme,Rabat,Doctorat,Sales,Sales Analyst,0,2025-07-04,39,11.4,1,16050,2.8,6.4,CDI,Non
EMP0475,33,Homme,Agadir,Master,Finance,Controller,8,2018-05-01,30,2.4,0,19050,3.1,7.7,CDI,Non
EMP0502,30,Homme,Rabat,Master,Finance,Financial Analyst,4,2020-07-10,54,5.7,1,14150,2.9,7.4,CDI,Non
EMP0608,26,Femme,Rabat,Licence,Sales,Sales Representative,6,2018-04-03,40,3.5,4,10750,4.0,8.7,CDD,Oui
EMP0101,45,Femme,Agadir,Master,IT,Support Engineer,25,2002-08-19,53,10.3,3,24850,3.4,5.4,CDI,Non
EMP0021,32,Homme,Marrakech,Bac+2,Data,Data Analyst,2,2023-03-21,34,6.1,0,14050,3.5,9.5,CDI,Non
EMP0084,44,Femme,Marrakech,Bac,Finance,Financial Analyst,18,2008-07-16,35,6.7,3,16950,3.3,8.1,CDI,Non
EMP0126,45,Femme,Fès,Bac,Sales,Sales Analyst,13,2013-06-10,41,13.7,4,14700,3.6,4.1,CDI,Non
EMP0104,33,Femme,Rabat,Master,Operations,Operations Analyst,13,2012-02-17,35,4.3,5,15700,3.0,8.4,CDD,Oui
EMP0400,41,Femme,Casablanca,Master,IT,System Engineer,3,2022-02-08,33,2.3,0,13550,1.9,5.7,CDD,Non
EMP0511,40,Femme,Rabat,Licence,RH,HR Specialist,0,2025-07-12,51,7.0,2,7250,3.7,6.0,CDD,Oui
EMP0598,32,Homme,Marrakech,Master,IT,Support Engineer,7,2019-08-20,50,10.3,1,14800,2.9,3.8,CDI,Non
EMP0334,31,Femme,Casablanca,Master,Operations,Coordinator,8,2017-01-09,40,4.1,3,14800,3.3,6.6,CDI,Non
EMP0409,41,Femme,Tanger,Doctorat,Data,Data Engineer,15,2011-07-25,52,0.4,2,27700,2.9,7.9,CDI,Non
EMP0364,39,Homme,Agadir,Licence,Finance,Financial Analyst,6,2020-12-19,38,8.8,4,16000,3.7,8.7,CDI,Non
EMP0146,28,Homme,Rabat,Master,Sales,Sales Representative,4,2020-04-23,42,9.7,3,11100,2.5,6.8,CDI,Non
EMP0028,43,Femme,Casablanca,Bac+2,IT,Support Engineer,13,2011-01-25,41,5.6,1,14600,3.7,5.8,CDI,Oui
EMP0171,35,Homme,Agadir,Master,Sales,Sales Analyst,5,2021-08-27,47,2.9,0,12300,3.0,4.9,CDI,Non
EMP0473,51,Homme,Fès,Bac+2,RH,Recruiter,14,2010-07-14,53,6.3,1,12300,3.8,6.6,CDI,Non
EMP0486,35,Femme,Marrakech,Master,Operations,Operations Analyst,12,2013-12-15,44,3.1,1,16650,2.7,7.3,CDI,Non
EMP0530,34,Femme,Marrakech,Master,IT,System Engineer,3,2021-08-23,49,5.1,1,17350,3.6,7.2,CDI,Non
EMP0152,23,Femme,Fès,Master,Data,Data Engineer,2,2023-12-12,43,4.9,0,17500,2.9,7.4,CDI,Non
EMP0052,38,Femme,Casablanca,Master,Operations,Coordinator,8,2016-05-23,32,7.4,3,14200,2.9,4.7,CDI,Non
EMP0165,44,Homme,Casablanca,Licence,Data,Data Engineer,17,2009-07-06,36,6.1,0,23050,3.6,4.4,CDI,Non
EMP0070,32,Homme,Marrakech,,Data,Data Analyst,1,2023-12-02,50,5.2,5,11800,2.9,6.6,CDI,Non
EMP0429,37,Femme,Fès,Bac+2,Operations,Technician,8,2016-02-15,50,3.7,3,11300,3.6,7.8,CDI,Non
EMP0319,44,Homme,Rabat,Bac+2,Finance,Accountant,5,2020-07-05,41,1.5,1,11250,3.5,6.1,CDI,Non
EMP0637,37,Femme,Rabat,Master,Finance,Accountant,7,2018-05-04,50,9.5,2,13750,2.4,7.4,Stage,Non
EMP0433,30,Femme,Tanger,Licence,IT,System Engineer,3,2023-05-10,34,3.2,1,10950,2.9,7.1,CDI,Non
EMP0360,32,femme,Marrakech,Bac+2,Data,Data Engineer,11,2015-09-19,36,4.4,1,19300,3.5,8.8,CDI,Non
EMP0198,35,Homme,Fès,Master,IT,Support Engineer,0,2026-12-09,43,5.1,0,13800,3.4,5.7,CDD,Non
EMP0391,41,Femme,Casablanca,Licence,Operations,Coordinator,2,2022-08-26,46,0.3,3,11350,4.3,8.7,CDD,Oui
EMP0523,42,Femme,Tanger,,IT,System Engineer,22,2003-04-21,47,11.0,1,23450,3.7,6.1,CDI,Non
EMP0187,27,Homme,Marrakech,Master,IT,System Engineer,3,2022-10-09,46,5.6,2,15400,3.9,9.7,CDI,Non
EMP0583,40,Femme,Rabat,Bac+2,RH,HR Analyst,2,2023-01-01,56,2.2,0,8800,3.0,6.7,CDD,Non
EMP0629,34,Homme,Casablanca,Master,Operations,Technician,9,2015-04-20,47,5.8,1,12950,3.5,6.3,CDI,Non
EMP0056,49,Homme,Fès,Licence,Sales,Account Manager,26,2002-10-26,46,5.5,2,26850,3.6,5.8,CDI,Oui
EMP0306,45,Homme,Rabat,Master,Operations,Coordinator,3,2021-10-12,39,2.1,1,13550,3.9,7.3,CDI,Non
EMP0096,38,Homme,Casablanca,Master,Operations,Coordinator,9,2015-02-07,47,9.0,0,14950,3.0,7.9,CDD,Non
EMP0596,42,Femme,Rabat,Licence,Data,Data Engineer,20,2005-11-27,45,4.7,1,22750,2.4,7.7,CDI,Non
EMP0020,41,Homme,Casablanca,Master,Data,Data Engineer,7,2019-06-24,42,7.3,2,19400,3.9,6.0,CDI,Non
EMP0421,26,Femme,Casablanca,Master,Operations,Operations Analyst,3,2022-08-05,43,2.4,2,13500,3.7,7.5,CDI,Non
